DropperID, MobName                       , QuestID, ItemID , ServerItemName                               , Chance , MinQTY, MaxQTY , AvgQty
     2000, Amherst Crate                 ,       0,       0, Meso                                         ,  400000,      1,       5,       3
     2000, Amherst Crate                 ,       0, 2010000, Apple                                        ,  100000,      1,       1,       1
     2000, Amherst Crate                 ,       0, 2010009, Green Apple                                  ,  100000,      1,       1,       1
     2000, Amherst Crate                 ,    1008, 4031161, Rusty Screw                                  , 1000000,      1,       1,       1
     2000, Amherst Crate                 ,    1008, 4031162, Old Wooden Board                             , 1000000,      1,       1,       1
   100100, Snail                         ,       0,       0, Meso                                         ,  400000,      4,       6,       5
   100100, Snail                         ,       0, 1002067, Green Headband                               ,    1287,      1,       1,       1
   100100, Snail                         ,       0, 1040002, White Undershirt                             ,     700,      1,       1,       1
   100100, Snail                         ,       0, 1052095, Brown Rocky Suit                             ,     700,      1,       1,       1
   100100, Snail                         ,       0, 1302000, Sword                                        ,     700,      1,       1,       1
   100100, Snail                         ,       0, 2000000, Red Potion                                   ,   20000,      1,       1,       1
   100100, Snail                         ,       0, 2010009, Green Apple                                  ,   20000,      1,       1,       1
   100100, Snail                         ,       0, 2040002, Scroll for Helmet for Defense 10%            ,     300,      1,       1,       1
   100100, Snail                         ,       0, 2041004, Scroll for Cape for Defense 60%              ,     300,      1,       1,       1
   100100, Snail                         ,       0, 4000019, Snail Shell                                  ,  600000,      1,       1,       1
   100100, Snail                         ,       0, 4010000, Bronze Ore                                   ,    9000,      1,       1,       1
   100100, Snail                         ,       0, 4020000, Garnet Ore                                   ,    9000,      1,       1,       1
   100101, Blue Snail                    ,       0,       0, Meso                                         ,  400000,      8,      12,      10
   100101, Blue Snail                    ,       0, 1040006, Undershirt                                   ,     700,      1,       1,       1
   100101, Blue Snail                    ,       0, 1040013, Blue One-lined T-Shirt                       ,     800,      1,       1,       1
   100101, Blue Snail                    ,       0, 1040017, Grey / Brown Training Shirt                  ,     800,      1,       1,       1
   100101, Blue Snail                    ,       0, 1041012, Red-Striped T-Shirt                          ,     800,      1,       1,       1
   100101, Blue Snail                    ,       0, 1060004, Grey Thick Sweat Pants                       ,     800,      1,       1,       1
   100101, Blue Snail                    ,       0, 1060013, Grey / Brown Training Pants                  ,     800,      1,       1,       1
   100101, Blue Snail                    ,       0, 2000000, Red Potion                                   ,   20000,      1,       1,       1
   100101, Blue Snail                    ,       0, 2010009, Green Apple                                  ,   20000,      1,       1,       1
   100101, Blue Snail                    ,       0, 2041003, Scroll for Cape for Defense 100%             ,     300,      1,       1,       1
   100101, Blue Snail                    ,       0, 4000000, Blue Snail Shell                             ,  600000,      1,       1,       1
   100101, Blue Snail                    ,       0, 4010001, Steel Ore                                    ,    9000,      1,       1,       1
   100101, Blue Snail                    ,       0, 4010004, Silver Ore                                   ,    7000,      1,       1,       1
   100101, Blue Snail                    ,       0, 4020001, Amethyst Ore                                 ,    9000,      1,       1,       1
   100101, Blue Snail                    ,       0, 4020004, Opal Ore                                     ,    7000,      1,       1,       1
   100110, Bob                           ,       0,       0, Meso                                         ,  400000,    400,     600,     500
   100110, Bob                           ,       0, 1002391, Green Bandana                                ,    1000,      1,       1,       1
   100110, Bob                           ,       0, 1102000, Green Adventurer Cape                        ,    7000,      1,       1,       1
   100110, Bob                           ,       0, 1102001, Blue Adventurer Cape                         ,    7000,      1,       1,       1
   100110, Bob                           ,       0, 1102002, Red Adventurer Cape                          ,    7000,      1,       1,       1
   100110, Bob                           ,       0, 1102003, White Adventurer Cape                        ,    7000,      1,       1,       1
   100110, Bob                           ,       0, 1102004, Black Adventurer Cape                        ,    7000,      1,       1,       1
   120100, Shroom                        ,       0,       0, Meso                                         ,  400000,      8,      12,      10
   120100, Shroom                        ,       0, 1002610, Brown Rocky Bandana                          ,    1287,      1,       1,       1
   120100, Shroom                        ,       0, 1060007, Jean Capris                                  ,     800,      1,       1,       1
   120100, Shroom                        ,       0, 1061009, Green Avelin Skirt                           ,     800,      1,       1,       1
   120100, Shroom                        ,       0, 1062000, Ice Jeans                                    ,     800,      1,       1,       1
   120100, Shroom                        ,       0, 1312004, Hand Axe                                     ,     700,      1,       1,       1
   120100, Shroom                        ,       0, 1332006, Field Dagger                                 ,     500,      1,       1,       1
   120100, Shroom                        ,       0, 2000000, Red Potion                                   ,   20000,      1,       1,       1
   120100, Shroom                        ,       0, 2010009, Green Apple                                  ,   20000,      1,       1,       1
   120100, Shroom                        ,       0, 2041004, Scroll for Cape for Defense 60%              ,     300,      1,       1,       1
   120100, Shroom                        ,       0, 4000011, Mushroom Spore                               ,  600000,      1,       1,       1
   120100, Shroom                        ,       0, 4010002, Mithril Ore                                  ,    9000,      1,       1,       1
