                                                                                                                 請使用[Ctrl+F]搜尋題庫關鍵字,,,,,,,,,
,,,,,,,,,
編輯整理者: philip.c.,,特別感謝: 涼子秋,,,,,,其他參考資料,https://docs.google.com/spreadsheets/d/1-qIgoMs_ABTsXJenbURn-p93hHtAwnBBeKZM7v9rxhE/edit?gid=94584747#gid=94584747
,,,,,,,,,https://discord.com/channels/1298161198889435166/1299671603843432529/1299671603843432529
消歧義：Ossyria(CMS翻奧西利亞大陸)，指的是對應維多利亞島以北的新大陸，包含冰原雪域、水世界、神木村、玩具城等地的大陸，TMS當初錯翻成艾納斯大陸。,,,,,,,,,
實際上艾納斯(El'Nath)指的是冰原雪域地區(包含後半部的廢棄礦坑)，而非大陸名稱。,,,,,,,,,
由於繁中服官方目前採用AI機翻，用搜尋功能不一定能直接找到題目，建議可以從較通用的關鍵字開始搜尋(例如NPC、怪物、藥水、技能)。,,,,,,,,,
Who is the founder of ChronoStory?《ChronoStory》的創始人是谁？,,,,,,,,,
"• Vaft 瓦夫特
• Cody 科迪
• Dinofries 恐龍薯條
• Boutei 布泰✔
• Inkwell 墨水瓶",,,,,,,,,
,,,,,,,,,
Which of these monsters will you NOT be facing in Ossyria?在艾納斯大陸中，你不會面对以下哪種怪物？,,,,,,,,,
"• Lunar Pixie 月光精靈
• Lioner 黃獨角獅
• Cellion 紅獨角獅
• Clang 青螃蟹✔
• Hector 野狼",,,,,,,,,
,,,,,,,,,
Which of the following monsters can fly?以下哪個怪物可以飛行？,,,,,,,,,
"• Malady 巫婆✔
• Ligator 鱷魚
• Cold Eye 冰獨眼獸
• Meerkat 狐蒙
• Alishar 艾利沙爾",,,,,,,,,
,,,,,,,,,
Which of the following monsters is not involved in a Wanted Quest?以下哪個怪物沒有參與通辑任務？,,,,,,,,,
"• Horny Mushroom 刺菇菇
• Drake 土龍
• Wild Boar 黑肥肥✔
• Curse Eye 風獨眼獸
• Evil Eye 火獨眼獸",,,,,,,,,
,,,,,,,,,
Which monster cannot be found in El Nath?艾納斯沒有下列哪種怪物？                ,,,,,,,,,
"• Dark Yeti 黑吉拉
• Cold Eye 冰獨眼獸✔
• Yeti and Pepe 雪吉拉戰車
• Bain 班恩
• Coolie Zombie 殭屍 ",,,,,,,,,
,,,,,,,,,
"Green Mushroom, Tree Stump, Bubbling, Axe Stump, Octopus, which isthe highest level? 綠菇菇、樹楓、泡泡魚、斧木楓、章魚，哪個等級最高？",,,,,,,,,
"• Tree Stump 樹楓
• Bubbling 藍水靈 Lv.15
• Axe Stump 斧木妖 Lv.22✔
• Octopus 三眼章魚 Lv.12
• Green Mushroom 綠菇菇 Lv.15",,,,,,,,,
,,,,,,,,,
Which monster does not appear in MapleIsland?在楓之島不會出現哪種怪物？,,,,,,,,,
"• Southperry Pirate Lord  海盜領主（南港的Pirate's Hideout）
• Green Mushroom 綠菇菇
• King Slime 綠水靈王 ✔
• Alpha Ribbon Pig 奇怪的豬
• Chunky Snail 矮胖蝸牛",,,,,,,,,
,,,,,,,,,
Which of following monsters's item CORRECTLY corresponds to the monster?以下哪個怪物掉落的道具對應正確？,,,,,,,,,
